order_line_id,order_id,order_date,order_status,customer_id,fullname,state,product_id,product_name,category,price,quantity,campaign_id,channel,budget
10347-2TFP19-1,10347-2TFP19,2020-04-21,Completed,10347,Junie Poutress,FL,130,Slacks,Clothing,32.32,1,,,
10347-2TFP19-2,10347-2TFP19,2020-04-21,Completed,10347,Junie Poutress,FL,230,Magnemo,Electronics,75.75,1,,,
10347-2TFP19-3,10347-2TFP19,2020-04-21,Completed,10347,Junie Poutress,FL,330,Optique,Home,93.06,2,,,
11201-3EWL83-1,11201-3EWL83,2015-06-26,Shipped,11201,Dory Chalcot,IL,110,Pullover,Clothing,43.87,4,,,
10919-6YUR32-1,10919-6YUR32,2018-01-02,Shipped,10919,Hanni Guard,CA,230,Magnemo,Electronics,71.25,1,,,
10919-6YUR32-2,10919-6YUR32,2018-01-02,Shipped,10919,Hanni Guard,CA,340,Peril,Home,11.99,1,,,
11916-2YGU45-1,11916-2YGU45,2018-05-18,Shipped,11916,Jocko Mabee,NY,230,Magnemo,Electronics,66.75,1,,,
10795-6ART48-1,10795-6ART48,2020-08-21,Completed,10795,Mallissa Kirkness,CA,240,PortaCode,Electronics,22.5,1,,,
10157-6ANZ61-1,10157-6ANZ61,2016-08-28,Shipped,10157,Findley Fitzroy,MA,240,PortaCode,Electronics,21.75,1,,,
11407-7KCZ57-1,11407-7KCZ57,2020-08-04,Shipped,11407,Seward Yellowlees,UT,230,Magnemo,Electronics,66.75,1,,,
11763-0XPA94-1,11763-0XPA94,2018-05-16,Completed,11763,Marnie Poon,GA,130,Slacks,Clothing,34.24,1,,,
11763-0XPA94-2,11763-0XPA94,2018-05-16,Completed,11763,Marnie Poon,GA,140,Shorts,Clothing,24.61,1,,,
11854-2EUX97-1,11854-2EUX97,2019-11-14,Completed,11854,Gery Vipan,MO,230,Magnemo,Electronics,75.75,1,,,
11500-5JUW40-1,11500-5JUW40,2016-10-23,Shipped,11500,Rance Crispe,TX,110,Pullover,Clothing,38.13,1,,,
12105-6XVY59-1,12105-6XVY59,2017-04-21,Shipped,12105,Catlaina Rastrick,SC,320,ChalkTalk,Home,67.98,1,10043,Facebook Post,700
12105-6XVY59-2,12105-6XVY59,2017-04-21,Shipped,12105,Catlaina Rastrick,SC,420,Elentrix,Outdoor,518.4,1,10043,Facebook Post,700
12105-6XVY59-3,12105-6XVY59,2017-04-21,Shipped,12105,Catlaina Rastrick,SC,320,ChalkTalk,Home,64.68,1,10043,Facebook Post,700
11396-9OGK93-1,11396-9OGK93,2016-03-09,Shipped,11396,Rona Tillard,TX,130,Slacks,Clothing,25.92,1,,,
11396-9OGK93-2,11396-9OGK93,2016-03-09,Shipped,11396,Rona Tillard,TX,240,PortaCode,Electronics,23.25,1,,,
11396-9OGK93-3,11396-9OGK93,2016-03-09,Shipped,11396,Rona Tillard,TX,230,Magnemo,Electronics,83.25,4,,,
11396-9OGK93-4,11396-9OGK93,2016-03-09,Shipped,11396,Rona Tillard,TX,140,Shorts,Clothing,28.75,1,,,
12380-5YTN97-1,12380-5YTN97,2016-09-12,Shipped,12380,Andrej Bendel,DE,220,Compglass,Electronics,48.5,1,,,
10123-6CCZ02-1,10123-6CCZ02,2019-11-20,Shipped,10123,Karlis Wilmut,DC,330,Optique,Home,103.95,1,,,
12712-9CCI55-1,12712-9CCI55,2017-04-04,Shipped,12712,Meridith Lalor,TX,140,Shorts,Clothing,18.17,1,,,
